year,event,player,team,region,role,rating,agents,rounds
2021,Masters 3,Mazino,KRÜ,Americas,Sentinel,0.84,"killjoy,sage,viper",186
2021,Masters 3,liazzi,LBR,Pacific,Flex,0.84,"jett,killjoy",78
2021,Masters 3,dapr,SEN,Americas,Flex,0.84,"viper,sova,cypher",243
2021,Masters 3,Munchkin,CR,Pacific,Duelist,0.82,"jett,reyna,raze",118
2021,Masters 3,shion,LBR,Pacific,Initiator,0.82,"breach,reyna,skye",78
2021,Masters 3,Kiles,ACE,EMEA,Flex,0.82,"killjoy,viper,sova",213
2021,Masters 3,pleets,LBR,Pacific,Flex,0.81,"astra,sage",78
2021,Masters 3,shiba,PRX,Pacific,Flex,0.76,"sova,sage",110
2021,Masters 3,Efina,F4Q,Pacific,Sentinel,0.75,killjoy,190
2021,Masters 3,mindfreak,PRX,Pacific,Controller,0.75,"astra,viper",110
2021,Masters 3,Myssen,LBR,Pacific,Flex,0.74,"skye,viper,cypher",78
2021,Masters 3,BONECOLD,ACE,EMEA,Controller,0.73,"astra,brimstone,omen",213
2021,Masters 3,Fisker,CR,Pacific,Flex,0.72,"skye,jett",118
2021,Masters 3,fiveK,F4Q,Pacific,Flex,0.71,"reyna,skye",190
2021,Masters 3,FiNESSE,ENVY,Americas,Sentinel,0.70,"killjoy,viper,cypher",248
2021,Masters 3,Lakia,VS,Pacific,Initiator,0.65,skye,15
2021,Masters 3,Reita,ZETA,Pacific,Duelist,0.57,jett,92
2021,Masters 3,makiba,ZETA,Pacific,Controller,0.51,"astra,viper",57
2021,Masters 3,barce,ZETA,Pacific,Controller,0.46,brimstone,35
2021,Champions,Derke,FNC,EMEA,Duelist,1.28,"jett,raze",207
2021,Champions,Sacy,VKS,Americas,Initiator,1.27,"sova,breach",145
2021,Champions,heat,VKS,Americas,Duelist,1.21,jett,98
2021,Champions,Chronicle,GMB,EMEA,Flex,1.19,"sova,killjoy,brimstone",356
2021,Champions,yay,ENVY,Americas,Duelist,1.19,jett,156
2021,Champions,leaf,C9,Americas,Flex,1.19,"jett,skye",236
2021,Champions,crashies,ENVY,Americas,Flex,1.18,"sova,viper",156
2021,Champions,ScreaM,TL,EMEA,Duelist,1.17,"jett,reyna",187
2021,Champions,cNed,ACE,EMEA,Flex,1.15,"jett,sage",290
2021,Champions,nzr,FUR,Americas,Flex,1.15,"sova,viper",134
2021,Champions,dispenser,TS,Pacific,Sentinel,1.14,"sage,cypher,killjoy",163
2021,Champions,ShahZaM,SEN,Americas,Initiator,1.14,"sova,skye,breach",199
2021,Champions,zeek,ACE,EMEA,Duelist,1.14,"reyna,raze,kayo",290
2021,Champions,Sushiboys,X10,Pacific,Sentinel,1.12,"cypher,jett,killjoy",208
2021,Champions,Nivera,TL,EMEA,Flex,1.11,"sova,killjoy,viper",187
2021,Champions,nAts,GMB,EMEA,Flex,1.11,"viper,cypher",356
2021,Champions,doma,FNC,EMEA,Initiator,1.10,"sage,kayo,breach",207
2021,Champions,Patiphan,X10,Pacific,Duelist,1.10,"jett,reyna,raze",208
2021,Champions,saadhak,VKS,Americas,Sentinel,1.09,"sage,killjoy,viper",145
2021,Champions,keznit,KRÜ,Americas,Duelist,1.09,"reyna,breach,raze",317
2021,Champions,DubsteP,TS,Pacific,Duelist,1.09,jett,163
2021,Champions,xeta,C9,Americas,Initiator,1.07,"sova,breach",236
2021,Champions,d3ffo,GMB,EMEA,Duelist,1.06,"jett,raze,skye",356
2021,Champions,Bazzi,CR,Pacific,Initiator,1.06,sova,40
2021,Champions,TenZ,SEN,Americas,Duelist,1.06,jett,199
2021,Champions,SicK,SEN,Americas,Flex,1.05,"skye,sage",199
2021,Champions,BuZz,VS,Pacific,Duelist,1.05,"jett,raze",170
2021,Champions,MaKo,VS,Pacific,Controller,1.04,"astra,viper",170
2021,Champions,starxo,ACE,EMEA,Flex,1.04,"sage,skye,viper",290
2021,Champions,MAGNUM,FNC,EMEA,Sentinel,1.03,"killjoy,cypher",207
2021,Champions,mwzera,VKS,Americas,Initiator,1.02,"sova,skye",98
2021,Champions,Mazino,KRÜ,Americas,Initiator,1.01,"sova,cypher,skye",317
2021,Champions,Witz,TS,Pacific,Duelist,1.01,"reyna,skye,raze",163
2021,Champions,L1NK,TL,EMEA,Flex,1.00,"astra,cypher,breach",187
2021,Champions,Rb,VS,Pacific,Initiator,1.00,"skye,sova,sage",170
2021,Champions,foxz,X10,Pacific,Initiator,1.00,"sova,skye,kayo",208
2021,Champions,sutecas,VKS,Americas,Controller,1.00,"viper,astra",145
2021,Champions,stax,VS,Pacific,Initiator,0.99,"breach,skye,kayo",170
2021,Champions,LAMMYSNAX,FS,Pacific,Initiator,0.99,"skye,sova,viper",82
2021,Champions,Marved,ENVY,Americas,Controller,0.99,"viper,astra",156
2021,Champions,xand,FUR,Americas,Duelist,0.99,jett,134
2021,Champions,BONECOLD,ACE,EMEA,Controller,0.98,"sova,brimstone,omen",290
2021,Champions,qck,FUR,Americas,Flex,0.97,"sage,viper,skye",134
2021,Champions,sheydos,GMB,EMEA,Flex,0.96,"reyna,skye,sage",356
2021,Champions,Redgar,GMB,EMEA,Flex,0.96,"sage,sova,astra",356
2021,Champions,NagZ,KRÜ,Americas,Flex,0.96,"jett,sage",317
